fold,test_season,result_class,probability_bin,average_predicted_probability,observed_frequency,match_count
1,2023-24,H,0.0-0.2,0.15520616427673128,0.14705882352941177,34
1,2023-24,H,0.2-0.4,0.2933154490890266,0.30344827586206896,145
1,2023-24,H,0.4-0.6,0.5058804135896845,0.5591397849462365,93
1,2023-24,H,0.6-0.8,0.6784965787255445,0.6732673267326733,101
1,2023-24,H,0.8-1.0,0.8262572827446345,0.8571428571428571,7
1,2023-24,D,0.0-0.2,0.16598868190604385,0.2074074074074074,135
1,2023-24,D,0.2-0.4,0.2571902478493892,0.22131147540983606,244
1,2023-24,D,0.4-0.6,0.42259872522443404,0.0,1
1,2023-24,A,0.0-0.2,0.14019286493550692,0.14285714285714285,119
1,2023-24,A,0.2-0.4,0.2812562249920684,0.26548672566371684,113
1,2023-24,A,0.4-0.6,0.5042720923170033,0.4696969696969697,132
1,2023-24,A,0.6-0.8,0.6386940379552779,0.875,16
2,2024-25,H,0.0-0.2,0.14959249404887986,0.1282051282051282,39
2,2024-25,H,0.2-0.4,0.29587072548511745,0.2578125,128
2,2024-25,H,0.4-0.6,0.4994615573328673,0.5048543689320388,103
2,2024-25,H,0.6-0.8,0.6828692936804268,0.5841584158415841,101
2,2024-25,H,0.8-1.0,0.8243127908370411,0.6666666666666666,9
2,2024-25,D,0.0-0.2,0.16407890062907315,0.22875816993464052,153
2,2024-25,D,0.2-0.4,0.25777056060763187,0.252212389380531,226
2,2024-25,D,0.4-0.6,0.46115968464097934,1.0,1
2,2024-25,A,0.0-0.2,0.13662563160830324,0.15126050420168066,119
2,2024-25,A,0.2-0.4,0.29986409141667136,0.33088235294117646,136
2,2024-25,A,0.4-0.6,0.49477314074428064,0.5056179775280899,89
2,2024-25,A,0.6-0.8,0.6545869829707377,0.6666666666666666,36
3,2025-26,H,0.0-0.2,0.1546287588051199,0.16216216216216217,37
3,2025-26,H,0.2-0.4,0.30018059294332383,0.33613445378151263,119
3,2025-26,H,0.4-0.6,0.5134368885880357,0.42424242424242425,132
3,2025-26,H,0.6-0.8,0.6723819088798412,0.6555555555555556,90
3,2025-26,H,0.8-1.0,0.8169205787599345,0.5,2
3,2025-26,D,0.0-0.2,0.1693646322455467,0.2619047619047619,126
3,2025-26,D,0.2-0.4,0.24786843089854332,0.2795275590551181,254
3,2025-26,A,0.0-0.2,0.14382791137180145,0.15384615384615385,104
3,2025-26,A,0.2-0.4,0.2867034389118629,0.2945205479452055,146
3,2025-26,A,0.4-0.6,0.48357257960710154,0.39622641509433965,106
3,2025-26,A,0.6-0.8,0.671403427048373,0.5652173913043478,23
3,2025-26,A,0.8-1.0,0.8190608781952433,0.0,1
