fold,test_season,actual_result,predicted_result,match_count
1,2023-24,H,H,133
1,2023-24,H,D,1
1,2023-24,H,A,41
1,2023-24,D,H,46
1,2023-24,D,D,0
1,2023-24,D,A,36
1,2023-24,A,H,38
1,2023-24,A,D,0
1,2023-24,A,A,85
2,2024-25,H,H,122
2,2024-25,H,D,1
2,2024-25,H,A,32
2,2024-25,D,H,55
2,2024-25,D,D,2
2,2024-25,D,A,36
2,2024-25,A,H,55
2,2024-25,A,D,1
2,2024-25,A,A,76
3,2025-26,H,H,121
3,2025-26,H,D,0
3,2025-26,H,A,41
3,2025-26,D,H,62
3,2025-26,D,D,0
3,2025-26,D,A,42
3,2025-26,A,H,54
3,2025-26,A,D,1
3,2025-26,A,A,59
