fold,test_season,feature,importance,rank
1,2023-24,home_elo_expected,0.07223273593432968,1
1,2023-24,away_elo_expected,0.07016515249528696,2
1,2023-24,elo_difference,0.06897174319555384,3
1,2023-24,home_elo,0.05708071463051394,4
1,2023-24,away_elo,0.048829453645761293,5
1,2023-24,away_season_points_before_match,0.034474968769292624,6
1,2023-24,home_last_5_goal_difference,0.03368157470974427,7
1,2023-24,home_venue_last_5_goal_difference,0.02948362009748803,8
1,2023-24,home_season_points_before_match,0.029302239009266397,9
1,2023-24,away_venue_last_5_goal_difference,0.028588341586400022,10
1,2023-24,away_last_5_goal_difference,0.0280420189338727,11
1,2023-24,away_venue_last_5_goals_against,0.027007267892957775,12
1,2023-24,away_season_matches_before_match,0.026331736240769853,13
1,2023-24,home_season_matches_before_match,0.02575647921608712,14
1,2023-24,home_venue_last_5_goals_for,0.025055541001626543,15
1,2023-24,home_last_5_goals_for,0.025008939213462325,16
1,2023-24,away_last_5_goals_for,0.024487456725308762,17
1,2023-24,home_venue_last_5_goals_against,0.023792416095406662,18
1,2023-24,home_last_5_goals_against,0.02376197484576676,19
1,2023-24,away_rest_days,0.02245941073009697,20
1,2023-24,away_last_5_goals_against,0.022106390706463204,21
1,2023-24,home_last_5_points,0.02203314976977268,22
1,2023-24,home_venue_last_5_points,0.020436148862530302,23
1,2023-24,home_rest_days,0.019881345979876123,24
1,2023-24,away_venue_last_5_goals_for,0.019807052139160383,25
1,2023-24,away_venue_last_5_points,0.019805487138996426,26
1,2023-24,away_last_5_points,0.01800003469948818,27
1,2023-24,away_last_5_draws,0.012166078543170342,28
1,2023-24,home_last_5_losses,0.012048396552761293,29
1,2023-24,away_venue_last_5_losses,0.01106796502848193,30
1,2023-24,home_venue_last_5_wins,0.011063315766444147,31
1,2023-24,home_venue_last_5_losses,0.010887445180973544,32
1,2023-24,home_venue_last_5_draws,0.010824831917578406,33
1,2023-24,home_last_5_draws,0.010299418840595438,34
1,2023-24,away_venue_last_5_draws,0.010043448368836874,35
1,2023-24,away_last_5_losses,0.009704886189172665,36
1,2023-24,away_venue_last_5_wins,0.009567158264593428,37
1,2023-24,away_last_5_wins,0.009297916359738879,38
1,2023-24,home_last_5_wins,0.009144316063547786,39
1,2023-24,home_venue_matches_available_last_5,0.002684342003849921,40
1,2023-24,away_venue_matches_available_last_5,0.0024507913342691197,41
